Mixture	B.cells.naive	B.cells.memory	Plasma.cells	T.cells.CD8	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.follicular.helper	T.cells.regulatory..Tregs.	T.cells.gamma.delta	NK.cells.resting	NK.cells.activated	Monocytes	Macrophages.M0	Macrophages.M1	Macrophages.M2	Dendritic.cells.resting	Dendritic.cells.activated	Mast.cells.resting	Mast.cells.activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA_BH_A1FC	0	0	0.204395613276182	0.127624010055917	0	0.160136868009832	0.0892311077788326	0.0494450095476982	0.00939428695180931	0	0	0.0626274345141371	0.00970010031732731	0.0443407560011326	0.0864376203690494	0.09928718386167	0.0234934251759907	0.00208160580226729	0.018123069805468	0	0.0136819085326865	0	9999	0.293722103739692	0.958899711591646
TCGA_AN_A0AT	0.0266959465224564	0	0.012784871594048	0.0647479393704123	0	0.0533533965410029	0.0140695028883706	0.0994423279496373	0.016624571377933	0.0188354560303221	0.0195837546437612	0	0	0.368475524656539	0.109996040079458	0.152717273652437	0	0	0	0.0426733946936221	0	0	9999	0.540294381647436	0.840697708926008
TCGA_AR_A0TS	0.191709972698644	0.00623064847430617	0.0286543089587019	0.10856682259012	0	0.203927869646161	0.039233549460763	0.0503249723006223	0.0406943839255164	0	0	0	0	0.0822119640123099	0.103729639666415	0.119276073093375	0	0	0.0254397951730661	0	0	0	9999	0.565831512630562	0.841330517516385
TCGA_EW_A1OV	0.070554584427382	0	0.0486031641336437	0.207743288900834	0	0.0923756253338345	0.0477228033202115	0.0618170451569495	0.0303565876100809	0.111113850849857	0	0	0	0.120106800706872	0.0786064957104557	0.0851248199220016	0.00229399594198833	0	0.0435809379858896	0	0	0	9999	0.547503113533017	0.846990715291461
TCGA_BH_A1EW	0.0308064416216454	0	0.0324455075608669	0.084805632903835	0	0.331369446368835	0.0420763194781368	0	0.00204724928830383	0.0107875894798883	0	0.0233682093396106	0.0279956270274399	0.0178530026563804	0.128109212706385	0.100787461557293	0.0190272272380359	0	0.142458943867543	0	0	0.00606212890580107	9999	0.350649337339224	0.938064865696674
TCGA_D8_A1JL	0	0.0288292153813212	0	0.0213915612892501	0	0.194186125910376	0.0244963686144543	0.100144583886095	0.0212582563765751	0.0197817957008019	0.0215476491436893	0	0	0.284351229166035	0.12015904907826	0.124255519449364	0.00557247111252286	0.00614921677088871	0.0232006134702029	0	0	0.0046763446501635	9999	0.579908287441937	0.819145681260722
TCGA_E2_A14N	0.0355904397065797	0	0	0.0249902502049671	0	0.431685944568321	0.0417056941265982	0.073639818883719	0	0	0.00377840170893612	0	0.00462638935207452	0.0732304211715027	0.222935330979487	0.052541906682933	0.00925473018000153	0.015889671511694	0.010131000923186	0	0	0	9999	0.434306948745488	0.905105315318972
TCGA_AC_A2QH	0	0.00400872920687342	0	0	0	0.370522821607766	0	0.0214693517966868	0.0393982212257594	0	0.0377253623224457	0.0393602683901366	0	0.439414519023058	0.00195315793966481	0.000589020730907974	0.000730104451690749	0	0	0.0391411696047436	0.00568727370026696	0	9999	0.0637578565546851	1.11380351153326
TCGA_D8_A27M	0.0396582504404193	0.0450934653042847	0.0523246151813506	0.0695634808682878	0	0.185741675288287	0.00956992750756622	0.0708199730134697	0.0141106763898221	0	0	0.0495053359621513	0.00190955609855078	0.0586144755303765	0.175369680993828	0.116138337565356	0.0330139572474001	0	0.07856659260885	0	0	0	9999	0.503517199813988	0.865401999807516
TCGA_E2_A150	0.015784370749761	0	0.00561451461971024	0.0182477639443949	0	0.147958303188576	0.02230732010825	0.0989080127341033	0.0289028629499561	0	0.00994445690106836	0	0	0.337274257010137	0.14698136669768	0.0990623313429164	0.0207348464946781	0	0.0482795932587683	0	0	0	9999	0.365796092127062	0.943557702249948
TCGA_A2_A3XX	0.08493690375561	0	0.0681126398273325	0.0708093208572932	0	0.0191183507164442	0	0.0921728104929608	0.0583557014602085	0	0	0.0153682957832765	0	0.376577417451556	0.0734348767088728	0.0972668129584611	0	0	0.0438468699879839	0	0	0	9999	0.299355155390303	0.973746350770204
TCGA_AR_A1AY	0	0	0.0101735881605527	9.46805400664962e-05	0	0.109923041656725	0	0.0293717018129372	0.000291245463778902	0	0.0140220216226438	0	0	0.626638944664734	0.0795098702194548	0.108506265952407	0	0	0	0.0214686399067001	0	0	9999	0.373592989933385	0.996543729833128
TCGA_E2_A158	0.00503936970729808	0	0.0631016173107564	0.0749370941261005	0	0	0	0.306488755192303	0	0	0	0.0539892294342255	0	0.140347666126352	0.148963765901582	0.143893842005508	0.0118901351700962	0	0.0513485250257787	0	0	0	9999	0.159430395045944	1.02682578866618
